3891,Person_Checking_Screen_in_Car_3891.jpg,Passenger checking and pointing to the screen of the car,"Car, Driving, Screen, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,16.4mb,,,,,,,,,,,,,,,,,,
3892,Person_Checking_Tablet_Close_Up_in_Kitch_3892.jpg,Person checking their tablet while standing in the kitchen,"Tablet, Device, Kitchen",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,17.1mb,,,,,,,,,,,,,,,,,,
3893,Person Checking Tablet in Kitchen,Person checking their tablet while sitting in the kitchen,"Tablet, Kitchen, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,18.2mb,,,,,,,,,,,,,,,,,,
3894,Person Driving Past a Biker,Person driving past a biker who is seen in their front view window,"Driving, Biker, Outside",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,16.8mb,,,,,,,,,,,,,,,,,,
3895,Person Driving Near a Biker,Person driving their car near a biker who is passing by,"Driver, Bike, Driving, Outside",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,17.8mb,,,,,,,,,,,,,,,,,,
3896,Person Using Phone to Take Picture of Meal,Person using their smart phone to take a picture of their meal.,"Smart, Phone, Device, Meal, Picture, Scan",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,10.6mb,,,,,,,,,,,,,,,,,,
3897,Person Using Device to Unlock Car,Person using their device to unlock their vehicle,"Device, Vehicle, Unlock, Phone",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,13.5mb,,,,,,,,,,,,,,,,,,
3898,Employee Looking at Tablet in Break Room,Female employee standing in break room checking her tablet,"Female, Employee, Break, Room, Tablet, Device, Work",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,45.8mb,,,,,,,,,,,,,,,,,,
3899,Runner Checking Smart Watch,Runner checking smart watch while outside on a run,"Runner, Running, Smart, Watch, Device, Outside",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,9.1mb,,,,,,,,,,,,,,,,,,
3900,Two Male Engineers in Lab,Two male engineers looking at tablet in a lab setting,"Engineer, Male, Tablet, Device, Lab, Work",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,32.6mb,,,,,,,,,,,,,,,,,,
3901,Nurse Helping Patient,Nurse using a tablet to help patient,"Nurse, Patient, Tablet, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,43mb,,,,,,,,,,,,,,,,,,
3902,Ariel View of Female in Living Room,Ariel view of a female in the living room looking at her tablet,"Female, Living Room, Tablet, Device",Qualcomm,Photography,Brand Photography,,Brittany,6/22/15,Brittany,6/22/15,,,JPEG,300 dpi,40.2mb,,,,,,,,,,,,,,,,,,
3903,AllPlay_Icon_Gray.jpg,"Qualcomm AllPlay Icon - Gray, jpg Format","AllPlay, Icon, Gray, jpg",Qualcomm,AllPlay,Icons,,Elysia,6/23/15,Elysia,6/23/15,,,JPEG,300 dpi,103kb,,,,,,,,,,,,,,,,,,
3904,AllPlay_Icon_White.eps,"Qualcomm AllPlay Icon - White, eps Format","AllPlay, Icon, White, eps",Qualcomm,AllPlay,Icons,,Elysia,6/23/15,Elysia,6/23/15,,,EPS,N/A,688kb,,,,,,,,,,,,,,,,,,
3905,AllPlay_Icon_White.jpg,"Qualcomm AllPlay Icon - White, jpg Format","AllPlay, Icon, White, jpg",Qualcomm,AllPlay,Icons,,Elysia,6/23/15,Elysia,6/23/15,,,JPEG,300 dpi,112kb,,,,,,,,,,,,,,,,,,
3906,AllPlay_Horizontal_Identifier_Black.eps,"Qualcomm AllPlay Identifier - Horizontal, Black, eps format","AllPlay, Identifier, Horizontal, Black, eps",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,EPS,N/A,708kb,,,,,,,,,,,,,,,,,,
3907,AllPlay_Horizontal_Identifier_Black.jpg,"Qualcomm AllPlay Identifier - Horizontal, Black, jpg format","AllPlay, Identifier, Horizontal, Black, jpg",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,JPEG,300 dpi,84kb,,,,,,,,,,,,,,,,,,
3908,AllPlay_Horizontal_Identifier_White.eps,"Qualcomm AllPlay Identifier - Horizontal, White, eps format","AllPlay, Horizontal, Identifier, White, eps",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,EPS,N/A,702kb,,,,,,,,,,,,,,,,,,
3909,AllPlay_Horizontal_Identifier_White.jpg,"Qualcomm AllPlay Identifier - Horizontal, White, jpg format","AllPlay, Identifier, Horizontal, White, jpg",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,JPEG,300 dpi,85kb,,,,,,,,,,,,,,,,,,
3910,AllPlay_Vertical_Identifier_Black.eps,"Qualcomm AllPlay Identifier - Vertical, Black, eps Format","AllPlay. Identifier, Vertical, Black, eps",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,EPS,N/A,783kb,,,,,,,,,,,,,,,,,,
3911,AllPlay_Vertical_Identifier_Black.jpg,"Qualcomm AllPlay Identifier - Vertical, Black, jpg Format","AllPlay, Identifier, Vertical, Black, jpg",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,JPEG,300 dpi,114kb,,,,,,,,,,,,,,,,,,
3912,AllPlay_Vertical_Identifier_White.eps,"Qualcomm AllPlay Identifier - Vertical, White, eps Format","AllPlay, Identifier, Vertical, eps",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,EPS,N/A,769kb,,,,,,,,,,,,,,,,,,
3913,AllPlay_Vertical_Identifier_White.jpg,"Qualcomm AllPlay Identifier - Vertical, White, jpg Format","AllPlay, Identifier, Vertical, White, jpg",Qualcomm,AllPlay,Identifiers,,Elysia,6/23/15,Elysia,6/23/15,,,JPEG,300 dpi,115kb,,,,,,,,,,,,,,,,,,
3915,AllPlay_Horizontal_Signature_Black.eps,"Qualcomm AllPlay Signature - Horizontal, Black, eps Format","AllPlay, Signature, Horizontal, Black, eps",Qualcomm,AllPlay,Horizontal Signatures,,Elysia,6/23/15,Elysia,6/23/15,,,EPS,N/A,309kb,,,,,,,,,,,,,,,,,,
